 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602770120.702055]      *** Running mifaser with up to 28 parallel thread(s)
[1602774514.175446]      *** Post-processing...
[1602769968.0810971]     *** Input: Uncompressed file ERR598981_cut20M.fastq
[1602769968.0811224]         Converting ERR598981_cut20M.fastq from fastq to fasta format...
[1602770040.4991229]         Getting input file statistics...
[1602770040.4992127]         Input file size: 3466MB
[1602770052.5089478]         Input file reads: 20000000
[1602771165.1328583]         [Thread #52]    - [Thread #52] running on [1/28] CPUs
[1602771165.1329396]         [Thread #52]      Creating output directories...
[1602771165.134383]          [Thread #52]      Translating reads...
[1602771186.3564088]         [Thread #52]      Running DIAMOND...
[1602771192.2591245]         [Thread #52]      Converting DIAMOND...
[1602771192.4002798]         [Thread #52]      Parsing DIAMOND...
[1602771192.6662993]         [Thread #52]      Annotating...
[1602771192.8346367]         [Thread #52]      Analyzing...
[1602771193.1466427]         [Thread #52]      Create read mapping...
[1602771208.619675]          [Thread #52]    - [Thread #52] finished
[1602771188.520726]          [Thread #53]    - [Thread #53] running on [1/28] CPUs
[1602771188.5208051]         [Thread #53]      Creating output directories...
[1602771188.522162]          [Thread #53]      Translating reads...
[1602771208.3266783]         [Thread #53]      Running DIAMOND...
[1602771214.223469]          [Thread #53]      Converting DIAMOND...
[1602771214.3434186]         [Thread #53]      Parsing DIAMOND...
[1602771214.5306885]         [Thread #53]      Annotating...
[1602771214.9106495]         [Thread #53]      Analyzing...
[1602771215.1099188]         [Thread #53]      Create read mapping...
[1602771227.5009587]         [Thread #53]    - [Thread #53] finished
[1602771210.6881251]         [Thread #54]    - [Thread #54] running on [1/28] CPUs
[1602771210.6882079]         [Thread #54]      Creating output directories...
[1602771210.8357735]         [Thread #54]      Translating reads...
[1602771230.7249246]         [Thread #54]      Running DIAMOND...
[1602771236.5793817]         [Thread #54]      Converting DIAMOND...
[1602771236.7039974]         [Thread #54]      Parsing DIAMOND...
[1602771236.8771095]         [Thread #54]      Annotating...
[1602771236.997748]          [Thread #54]      Analyzing...
[1602771237.3165548]         [Thread #54]      Create read mapping...
[1602771252.3149548]         [Thread #54]    - [Thread #54] finished
[1602771232.7225373]         [Thread #55]    - [Thread #55] running on [1/28] CPUs
[1602771232.7226224]         [Thread #55]      Creating output directories...
[1602771232.7245762]         [Thread #55]      Translating reads...
[1602771252.2565458]         [Thread #55]      Running DIAMOND...
[1602771258.08555]           [Thread #55]      Converting DIAMOND...
[1602771258.1997828]         [Thread #55]      Parsing DIAMOND...
[1602771258.3540154]         [Thread #55]      Annotating...
[1602771258.6864636]         [Thread #55]      Analyzing...
[1602771258.7969418]         [Thread #55]      Create read mapping...
[1602771274.541354]          [Thread #55]    - [Thread #55] finished
[1602771254.4803243]         [Thread #56]    - [Thread #56] running on [1/28] CPUs
[1602771254.480408]          [Thread #56]      Creating output directories...
[1602771254.4817464]         [Thread #56]      Translating reads...
[1602771274.2659838]         [Thread #56]      Running DIAMOND...
[1602771280.2114313]         [Thread #56]      Converting DIAMOND...
[1602771280.3413074]         [Thread #56]      Parsing DIAMOND...
[1602771280.5273392]         [Thread #56]      Annotating...
[1602771280.8575773]         [Thread #56]      Analyzing...
[1602771281.0716927]         [Thread #56]      Create read mapping...
[1602771296.8826785]         [Thread #56]    - [Thread #56] finished
[1602771276.6601918]         [Thread #57]    - [Thread #57] running on [1/28] CPUs
[1602771276.6603017]         [Thread #57]      Creating output directories...
[1602771276.6618974]         [Thread #57]      Translating reads...
[1602771296.7883792]         [Thread #57]      Running DIAMOND...
[1602771302.6168394]         [Thread #57]      Converting DIAMOND...
[1602771302.7249866]         [Thread #57]      Parsing DIAMOND...
[1602771302.8879933]         [Thread #57]      Annotating...
[1602771303.276672]          [Thread #57]      Analyzing...
[1602771303.3883154]         [Thread #57]      Create read mapping...
[1602771318.957037]          [Thread #57]    - [Thread #57] finished
[1602771299.0999548]         [Thread #58]    - [Thread #58] running on [1/28] CPUs
[1602771299.100037]          [Thread #58]      Creating output directories...
[1602771299.1014621]         [Thread #58]      Translating reads...
[1602771318.8791487]         [Thread #58]      Running DIAMOND...
[1602771324.676659]          [Thread #58]      Converting DIAMOND...
[1602771324.788586]          [Thread #58]      Parsing DIAMOND...
[1602771325.0134473]         [Thread #58]      Annotating...
[1602771325.4031372]         [Thread #58]      Analyzing...
[1602771325.4662428]         [Thread #58]      Create read mapping...
[1602771341.008833]          [Thread #58]    - [Thread #58] finished
[1602771321.156865]          [Thread #59]    - [Thread #59] running on [1/28] CPUs
[1602771321.1569312]         [Thread #59]      Creating output directories...
[1602771321.1582277]         [Thread #59]      Translating reads...
[1602771340.962878]          [Thread #59]      Running DIAMOND...
[1602771346.9452422]         [Thread #59]      Converting DIAMOND...
[1602771347.0545578]         [Thread #59]      Parsing DIAMOND...
[1602771347.2888532]         [Thread #59]      Annotating...
[1602771347.432668]          [Thread #59]      Analyzing...
[1602771347.7340574]         [Thread #59]      Create read mapping...
[1602771363.4893367]         [Thread #59]    - [Thread #59] finished
[1602771343.1995444]         [Thread #60]    - [Thread #60] running on [1/28] CPUs
[1602771343.1996253]         [Thread #60]      Creating output directories...
[1602771343.2010567]         [Thread #60]      Translating reads...
[1602771363.2033694]         [Thread #60]      Running DIAMOND...
[1602771369.1373973]         [Thread #60]      Converting DIAMOND...
[1602771369.2515233]         [Thread #60]      Parsing DIAMOND...
[1602771369.4080489]         [Thread #60]      Annotating...
[1602771369.631114]          [Thread #60]      Analyzing...
[1602771369.9693124]         [Thread #60]      Create read mapping...
[1602771385.5852728]         [Thread #60]    - [Thread #60] finished
[1602771365.4645772]         [Thread #61]    - [Thread #61] running on [1/28] CPUs
[1602771365.464658]          [Thread #61]      Creating output directories...
[1602771365.4665806]         [Thread #61]      Translating reads...
[1602771385.5327592]         [Thread #61]      Running DIAMOND...
[1602771391.4948802]         [Thread #61]      Converting DIAMOND...
[1602771391.613098]          [Thread #61]      Parsing DIAMOND...
[1602771391.8223028]         [Thread #61]      Annotating...
[1602771392.0018287]         [Thread #61]      Analyzing...
[1602771392.4231846]         [Thread #61]      Create read mapping...
[1602771408.2919047]         [Thread #61]    - [Thread #61] finished
[1602771387.7527397]         [Thread #62]    - [Thread #62] running on [1/28] CPUs
[1602771387.752821]          [Thread #62]      Creating output directories...
[1602771387.7542222]         [Thread #62]      Translating reads...
[1602771408.1274688]         [Thread #62]      Running DIAMOND...
[1602771414.015562]          [Thread #62]      Converting DIAMOND...
[1602771414.1224587]         [Thread #62]      Parsing DIAMOND...
[1602771414.3701801]         [Thread #62]      Annotating...
[1602771414.5017707]         [Thread #62]      Analyzing...
[1602771414.647504]          [Thread #62]      Create read mapping...
[1602771430.2661812]         [Thread #62]    - [Thread #62] finished
[1602771410.4645953]         [Thread #63]    - [Thread #63] running on [1/28] CPUs
[1602771410.4646747]         [Thread #63]      Creating output directories...
[1602771410.4659927]         [Thread #63]      Translating reads...
[1602771430.212203]          [Thread #63]      Running DIAMOND...
[1602771436.18281]           [Thread #63]      Converting DIAMOND...
[1602771436.2894835]         [Thread #63]      Parsing DIAMOND...
[1602771436.468795]          [Thread #63]      Annotating...
[1602771436.6920414]         [Thread #63]      Analyzing...
[1602771436.8862598]         [Thread #63]      Create read mapping...
[1602771453.4285495]         [Thread #63]    - [Thread #63] finished
[1602771432.4228115]         [Thread #64]    - [Thread #64] running on [1/28] CPUs
[1602771432.422891]          [Thread #64]      Creating output directories...
[1602771432.4242787]         [Thread #64]      Translating reads...
[1602771453.613528]          [Thread #64]      Running DIAMOND...
[1602771459.4993794]         [Thread #64]      Converting DIAMOND...
[1602771459.6105342]         [Thread #64]      Parsing DIAMOND...
[1602771459.9035833]         [Thread #64]      Annotating...
[1602771460.1122801]         [Thread #64]      Analyzing...
[1602771460.449651]          [Thread #64]      Create read mapping...
[1602771475.8279521]         [Thread #64]    - [Thread #64] finished
[1602771455.7527087]         [Thread #65]    - [Thread #65] running on [1/28] CPUs
[1602771455.7527933]         [Thread #65]      Creating output directories...
[1602771455.7542548]         [Thread #65]      Translating reads...
[1602771475.6975915]         [Thread #65]      Running DIAMOND...
[1602771481.7388678]         [Thread #65]      Converting DIAMOND...
[1602771481.8557453]         [Thread #65]      Parsing DIAMOND...
[1602771482.0074816]         [Thread #65]      Annotating...
[1602771482.2823386]         [Thread #65]      Analyzing...
[1602771482.373958]          [Thread #65]      Create read mapping...
[1602771498.7479284]         [Thread #65]    - [Thread #65] finished
[1602771478.0415404]         [Thread #66]    - [Thread #66] running on [1/28] CPUs
[1602771478.0416226]         [Thread #66]      Creating output directories...
[1602771478.043091]          [Thread #66]      Translating reads...
[1602771498.4821076]         [Thread #66]      Running DIAMOND...
[1602771504.385559]          [Thread #66]      Converting DIAMOND...
[1602771504.5028076]         [Thread #66]      Parsing DIAMOND...
[1602771504.812689]          [Thread #66]      Annotating...
[1602771505.1757998]         [Thread #66]      Analyzing...
[1602771505.4512794]         [Thread #66]      Create read mapping...
[1602771520.883722]          [Thread #66]    - [Thread #66] finished
[1602771500.767374]          [Thread #67]    - [Thread #67] running on [1/28] CPUs
[1602771500.767456]          [Thread #67]      Creating output directories...
[1602771500.7690167]         [Thread #67]      Translating reads...
[1602771520.7893498]         [Thread #67]      Running DIAMOND...
[1602771526.714752]          [Thread #67]      Converting DIAMOND...
[1602771526.8228893]         [Thread #67]      Parsing DIAMOND...
[1602771527.0294688]         [Thread #67]      Annotating...
[1602771527.154529]          [Thread #67]      Analyzing...
[1602771527.2674718]         [Thread #67]      Create read mapping...
[1602771542.8621829]         [Thread #67]    - [Thread #67] finished
[1602771523.0534174]         [Thread #68]    - [Thread #68] running on [1/28] CPUs
[1602771523.053482]          [Thread #68]      Creating output directories...
[1602771523.0546293]         [Thread #68]      Translating reads...
[1602771543.4859462]         [Thread #68]      Running DIAMOND...
[1602771549.4603386]         [Thread #68]      Converting DIAMOND...
[1602771549.5725865]         [Thread #68]      Parsing DIAMOND...
[1602771549.7769537]         [Thread #68]      Annotating...
[1602771549.9389439]         [Thread #68]      Analyzing...
[1602771549.989554]          [Thread #68]      Create read mapping...
[1602771566.5551717]         [Thread #68]    - [Thread #68] finished
[1602771545.6508822]         [Thread #69]    - [Thread #69] running on [1/28] CPUs
[1602771545.650981]          [Thread #69]      Creating output directories...
[1602771545.6525247]         [Thread #69]      Translating reads...
[1602771566.5252516]         [Thread #69]      Running DIAMOND...
[1602771572.5429492]         [Thread #69]      Converting DIAMOND...
[1602771572.6552038]         [Thread #69]      Parsing DIAMOND...
[1602771572.8211977]         [Thread #69]      Annotating...
[1602771573.0674949]         [Thread #69]      Analyzing...
[1602771573.2432187]         [Thread #69]      Create read mapping...
[1602771589.218542]          [Thread #69]    - [Thread #69] finished
[1602771568.741972]          [Thread #70]    - [Thread #70] running on [1/28] CPUs
[1602771568.742022]          [Thread #70]      Creating output directories...
[1602771568.7433257]         [Thread #70]      Translating reads...
[1602771589.188402]          [Thread #70]      Running DIAMOND...
[1602771595.1422575]         [Thread #70]      Converting DIAMOND...
[1602771595.2480762]         [Thread #70]      Parsing DIAMOND...
[1602771595.4254246]         [Thread #70]      Annotating...
[1602771595.6827638]         [Thread #70]      Analyzing...
[1602771595.9848595]         [Thread #70]      Create read mapping...
[1602771611.394665]          [Thread #70]    - [Thread #70] finished
[1602771591.8018668]         [Thread #71]    - [Thread #71] running on [1/28] CPUs
[1602771591.8019588]         [Thread #71]      Creating output directories...
[1602771591.803363]          [Thread #71]      Translating reads...
[1602771611.361991]          [Thread #71]      Running DIAMOND...
[1602771617.3681078]         [Thread #71]      Converting DIAMOND...
[1602771617.465987]          [Thread #71]      Parsing DIAMOND...
[1602771617.621484]          [Thread #71]      Annotating...
[1602771617.9941282]         [Thread #71]      Analyzing...
[1602771618.2598755]         [Thread #71]      Create read mapping...
[1602771633.2437675]         [Thread #71]    - [Thread #71] finished
[1602771613.5927615]         [Thread #72]    - [Thread #72] running on [1/28] CPUs
[1602771613.5927987]         [Thread #72]      Creating output directories...
[1602771613.5940683]         [Thread #72]      Translating reads...
[1602771633.1762733]         [Thread #72]      Running DIAMOND...
[1602771639.0948417]         [Thread #72]      Converting DIAMOND...
[1602771639.2217855]         [Thread #72]      Parsing DIAMOND...
[1602771639.4422421]         [Thread #72]      Annotating...
[1602771639.6254046]         [Thread #72]      Analyzing...
[1602771639.9410744]         [Thread #72]      Create read mapping...
[1602771655.5949004]         [Thread #72]    - [Thread #72] finished
[1602771635.4080904]         [Thread #73]    - [Thread #73] running on [1/28] CPUs
[1602771635.4081712]         [Thread #73]      Creating output directories...
[1602771635.4096704]         [Thread #73]      Translating reads...
[1602771655.5644813]         [Thread #73]      Running DIAMOND...
[1602771661.4823713]         [Thread #73]      Converting DIAMOND...
[1602771661.614328]          [Thread #73]      Parsing DIAMOND...
[1602771661.925549]          [Thread #73]      Annotating...
[1602771662.02734]           [Thread #73]      Analyzing...
[1602771662.1368837]         [Thread #73]      Create read mapping...
[1602771677.6724744]         [Thread #73]    - [Thread #73] finished
[1602771657.8105986]         [Thread #74]    - [Thread #74] running on [1/28] CPUs
[1602771657.81068]           [Thread #74]      Creating output directories...
[1602771657.8121161]         [Thread #74]      Translating reads...
[1602771677.60685]           [Thread #74]      Running DIAMOND...
[1602771683.5584984]         [Thread #74]      Converting DIAMOND...
[1602771683.6749656]         [Thread #74]      Parsing DIAMOND...
[1602771683.8317823]         [Thread #74]      Annotating...
[1602771684.041556]          [Thread #74]      Analyzing...
[1602771684.3434353]         [Thread #74]      Create read mapping...
[1602771700.4091425]         [Thread #74]    - [Thread #74] finished
[1602771679.846192]          [Thread #75]    - [Thread #75] running on [1/28] CPUs
[1602771679.8463209]         [Thread #75]      Creating output directories...
[1602771679.8478363]         [Thread #75]      Translating reads...
[1602771700.2790563]         [Thread #75]      Running DIAMOND...
[1602771706.2654178]         [Thread #75]      Converting DIAMOND...
[1602771706.3975768]         [Thread #75]      Parsing DIAMOND...
[1602771706.5674431]         [Thread #75]      Annotating...
[1602771706.9215462]         [Thread #75]      Analyzing...
[1602771707.2288673]         [Thread #75]      Create read mapping...
[1602771722.407819]          [Thread #75]    - [Thread #75] finished
[1602771702.6387393]         [Thread #76]    - [Thread #76] running on [1/28] CPUs
[1602771702.6388278]         [Thread #76]      Creating output directories...
[1602771702.6403139]         [Thread #76]      Translating reads...
[1602771722.3646069]         [Thread #76]      Running DIAMOND...
[1602771728.3490512]         [Thread #76]      Converting DIAMOND...
[1602771728.4484897]         [Thread #76]      Parsing DIAMOND...
[1602771728.6523466]         [Thread #76]      Annotating...
[1602771728.948589]          [Thread #76]      Analyzing...
[1602771729.2666845]         [Thread #76]      Create read mapping...
[1602771744.9490058]         [Thread #76]    - [Thread #76] finished
[1602771724.5733876]         [Thread #77]    - [Thread #77] running on [1/28] CPUs
[1602771724.5734708]         [Thread #77]      Creating output directories...
[1602771724.5750217]         [Thread #77]      Translating reads...
[1602771744.9184425]         [Thread #77]      Running DIAMOND...
[1602771750.8088903]         [Thread #77]      Converting DIAMOND...
[1602771750.9257038]         [Thread #77]      Parsing DIAMOND...
[1602771751.122469]          [Thread #77]      Annotating...
[1602771751.2558858]         [Thread #77]      Analyzing...
[1602771751.5545535]         [Thread #77]      Create read mapping...
[1602771768.1864026]         [Thread #77]    - [Thread #77] finished
[1602771747.067325]          [Thread #78]    - [Thread #78] running on [1/28] CPUs
[1602771747.0674062]         [Thread #78]      Creating output directories...
[1602771747.0688546]         [Thread #78]      Translating reads...
[1602771768.1890755]         [Thread #78]      Running DIAMOND...
[1602771774.0907607]         [Thread #78]      Converting DIAMOND...
[1602771774.232002]          [Thread #78]      Parsing DIAMOND...
[1602771774.374321]          [Thread #78]      Annotating...
[1602771774.6012914]         [Thread #78]      Analyzing...
[1602771774.8653255]         [Thread #78]      Create read mapping...
[1602771789.9966989]         [Thread #78]    - [Thread #78] finished
[1602771770.342035]          [Thread #79]    - [Thread #79] running on [1/28] CPUs
[1602771770.3421195]         [Thread #79]      Creating output directories...
[1602771770.343534]          [Thread #79]      Translating reads...
[1602771789.8619351]         [Thread #79]      Running DIAMOND...
[1602771795.735384]          [Thread #79]      Converting DIAMOND...
[1602771795.8549116]         [Thread #79]      Parsing DIAMOND...
[1602771796.044811]          [Thread #79]      Annotating...
[1602771796.3865929]         [Thread #79]      Analyzing...
[1602771796.68229]           [Thread #79]      Create read mapping...
[1602771809.8026166]         [Thread #79]    - [Thread #79] finished
[1602771792.29958]           [Thread #80]    - [Thread #80] running on [1/28] CPUs
[1602771792.2996612]         [Thread #80]      Creating output directories...
[1602771792.3010361]         [Thread #80]      Translating reads...
[1602771812.5340383]         [Thread #80]      Running DIAMOND...
[1602771818.3985794]         [Thread #80]      Converting DIAMOND...
[1602771818.5074146]         [Thread #80]      Parsing DIAMOND...
[1602771818.6540954]         [Thread #80]      Annotating...
[1602771818.8478472]         [Thread #80]      Analyzing...
[1602771819.1506548]         [Thread #80]      Create read mapping...
[1602771834.6733553]         [Thread #80]    - [Thread #80] finished
[1602771814.6351838]         [Thread #81]    - [Thread #81] running on [1/28] CPUs
[1602771814.635333]          [Thread #81]      Creating output directories...
[1602771814.637506]          [Thread #81]      Translating reads...
[1602771834.5663614]         [Thread #81]      Running DIAMOND...
[1602771840.4533734]         [Thread #81]      Converting DIAMOND...
[1602771840.5578272]         [Thread #81]      Parsing DIAMOND...
[1602771840.8593097]         [Thread #81]      Annotating...
[1602771841.2914495]         [Thread #81]      Analyzing...
[1602771841.3840427]         [Thread #81]      Create read mapping...
[1602771858.4159026]         [Thread #81]    - [Thread #81] finished
[1602771836.9024248]         [Thread #82]    - [Thread #82] running on [1/28] CPUs
[1602771836.9025073]         [Thread #82]      Creating output directories...
[1602771836.9040523]         [Thread #82]      Translating reads...
[1602771858.4071193]         [Thread #82]      Running DIAMOND...
[1602771864.2878277]         [Thread #82]      Converting DIAMOND...
[1602771864.3836794]         [Thread #82]      Parsing DIAMOND...
[1602771864.643056]          [Thread #82]      Annotating...
[1602771864.8047326]         [Thread #82]      Analyzing...
[1602771864.9172053]         [Thread #82]      Create read mapping...
[1602771880.3041756]         [Thread #82]    - [Thread #82] finished
[1602771860.652757]          [Thread #83]    - [Thread #83] running on [1/28] CPUs
[1602771860.6528199]         [Thread #83]      Creating output directories...
[1602771860.6541405]         [Thread #83]      Translating reads...
[1602771880.2731938]         [Thread #83]      Running DIAMOND...
[1602771886.3103588]         [Thread #83]      Converting DIAMOND...
[1602771886.43457]           [Thread #83]      Parsing DIAMOND...
[1602771886.6368086]         [Thread #83]      Annotating...
[1602771886.8238225]         [Thread #83]      Analyzing...
[1602771887.1526299]         [Thread #83]      Create read mapping...
[1602771902.5734525]         [Thread #83]    - [Thread #83] finished
[1602771882.8723063]         [Thread #84]    - [Thread #84] running on [1/28] CPUs
[1602771882.8723896]         [Thread #84]      Creating output directories...
[1602771882.873828]          [Thread #84]      Translating reads...
[1602771902.447805]          [Thread #84]      Running DIAMOND...
[1602771908.3685343]         [Thread #84]      Converting DIAMOND...
[1602771908.4953911]         [Thread #84]      Parsing DIAMOND...
[1602771908.653983]          [Thread #84]      Annotating...
[1602771908.9336307]         [Thread #84]      Analyzing...
[1602771909.093585]          [Thread #84]      Create read mapping...
[1602771924.7796166]         [Thread #84]    - [Thread #84] finished
[1602771904.8324971]         [Thread #85]    - [Thread #85] running on [1/28] CPUs
[1602771904.8325772]         [Thread #85]      Creating output directories...
[1602771904.8339608]         [Thread #85]      Translating reads...
[1602771924.6902566]         [Thread #85]      Running DIAMOND...
[1602771930.6420233]         [Thread #85]      Converting DIAMOND...
[1602771930.7632499]         [Thread #85]      Parsing DIAMOND...
[1602771930.9419785]         [Thread #85]      Annotating...
[1602771931.090834]          [Thread #85]      Analyzing...
[1602771931.3602185]         [Thread #85]      Create read mapping...
[1602771947.5590158]         [Thread #85]    - [Thread #85] finished
[1602771927.0525165]         [Thread #86]    - [Thread #86] running on [1/28] CPUs
[1602771927.052579]          [Thread #86]      Creating output directories...
[1602771927.05381]           [Thread #86]      Translating reads...
[1602771947.543211]          [Thread #86]      Running DIAMOND...
[1602771953.7658312]         [Thread #86]      Converting DIAMOND...
[1602771953.8964827]         [Thread #86]      Parsing DIAMOND...
[1602771954.0379956]         [Thread #86]      Annotating...
[1602771954.4286048]         [Thread #86]      Analyzing...
[1602771954.761533]          [Thread #86]      Create read mapping...
[1602771969.458873]          [Thread #86]    - [Thread #86] finished
[1602771949.6827328]         [Thread #87]    - [Thread #87] running on [1/28] CPUs
[1602771949.682814]          [Thread #87]      Creating output directories...
[1602771949.684634]          [Thread #87]      Translating reads...
[1602771969.4069781]         [Thread #87]      Running DIAMOND...
[1602771975.317418]          [Thread #87]      Converting DIAMOND...
[1602771975.414753]          [Thread #87]      Parsing DIAMOND...
[1602771975.724278]          [Thread #87]      Annotating...
[1602771975.9727688]         [Thread #87]      Analyzing...
[1602771976.4061487]         [Thread #87]      Create read mapping...
[1602771992.4181898]         [Thread #87]    - [Thread #87] finished
[1602771971.6649146]         [Thread #88]    - [Thread #88] running on [1/28] CPUs
[1602771971.6649966]         [Thread #88]      Creating output directories...
[1602771971.666556]          [Thread #88]      Translating reads...
[1602771992.0094178]         [Thread #88]      Running DIAMOND...
[1602771998.0470738]         [Thread #88]      Converting DIAMOND...
[1602771998.1634026]         [Thread #88]      Parsing DIAMOND...
[1602771998.4694548]         [Thread #88]      Annotating...
[1602771998.7082756]         [Thread #88]      Analyzing...
[1602771999.039101]          [Thread #88]      Create read mapping...
[1602772014.6054459]         [Thread #88]    - [Thread #88] finished
[1602771994.3897479]         [Thread #89]    - [Thread #89] running on [1/28] CPUs
[1602771994.3898315]         [Thread #89]      Creating output directories...
[1602771994.391266]          [Thread #89]      Translating reads...
[1602772014.5822964]         [Thread #89]      Running DIAMOND...
[1602772020.4125464]         [Thread #89]      Converting DIAMOND...
[1602772020.5244873]         [Thread #89]      Parsing DIAMOND...
[1602772020.7245135]         [Thread #89]      Annotating...
[1602772021.1115828]         [Thread #89]      Analyzing...
[1602772021.1704783]         [Thread #89]      Create read mapping...
[1602772037.0964882]         [Thread #89]    - [Thread #89] finished
[1602772016.8597507]         [Thread #90]    - [Thread #90] running on [1/28] CPUs
[1602772016.859831]          [Thread #90]      Creating output directories...
[1602772016.8612525]         [Thread #90]      Translating reads...
[1602772036.8178003]         [Thread #90]      Running DIAMOND...
[1602772042.782507]          [Thread #90]      Converting DIAMOND...
[1602772042.8946831]         [Thread #90]      Parsing DIAMOND...
[1602772043.0428467]         [Thread #90]      Annotating...
[1602772043.3899603]         [Thread #90]      Analyzing...
[1602772043.6831772]         [Thread #90]      Create read mapping...
[1602772059.6196618]         [Thread #90]    - [Thread #90] finished
[1602772039.164678]          [Thread #91]    - [Thread #91] running on [1/28] CPUs
[1602772039.1647568]         [Thread #91]      Creating output directories...
[1602772039.166241]          [Thread #91]      Translating reads...
[1602772059.3631942]         [Thread #91]      Running DIAMOND...
[1602772065.4506948]         [Thread #91]      Converting DIAMOND...
[1602772065.5662847]         [Thread #91]      Parsing DIAMOND...
[1602772065.742411]          [Thread #91]      Annotating...
[1602772066.1468303]         [Thread #91]      Analyzing...
[1602772066.50318]           [Thread #91]      Create read mapping...
[1602772081.9720216]         [Thread #91]    - [Thread #91] finished
[1602772061.6388788]         [Thread #92]    - [Thread #92] running on [1/28] CPUs
[1602772061.638959]          [Thread #92]      Creating output directories...
[1602772061.64035]           [Thread #92]      Translating reads...
[1602772081.8615875]         [Thread #92]      Running DIAMOND...
[1602772087.9256847]         [Thread #92]      Converting DIAMOND...
[1602772088.0562737]         [Thread #92]      Parsing DIAMOND...
[1602772088.2257211]         [Thread #92]      Annotating...
[1602772088.4108138]         [Thread #92]      Analyzing...
[1602772088.650794]          [Thread #92]      Create read mapping...
[1602772104.1418142]         [Thread #92]    - [Thread #92] finished
[1602772084.1794934]         [Thread #93]    - [Thread #93] running on [1/28] CPUs
[1602772084.1795464]         [Thread #93]      Creating output directories...
[1602772084.1807468]         [Thread #93]      Translating reads...
[1602772104.0928771]         [Thread #93]      Running DIAMOND...
[1602772109.996635]          [Thread #93]      Converting DIAMOND...
[1602772110.1262]            [Thread #93]      Parsing DIAMOND...
[1602772110.3700671]         [Thread #93]      Annotating...
[1602772110.5448632]         [Thread #93]      Analyzing...
[1602772110.7882059]         [Thread #93]      Create read mapping...
[1602772125.9524095]         [Thread #93]    - [Thread #93] finished
[1602772106.347605]          [Thread #94]    - [Thread #94] running on [1/28] CPUs
[1602772106.3476858]         [Thread #94]      Creating output directories...
[1602772106.3490913]         [Thread #94]      Translating reads...
[1602772125.8992171]         [Thread #94]      Running DIAMOND...
[1602772131.860974]          [Thread #94]      Converting DIAMOND...
[1602772131.9721878]         [Thread #94]      Parsing DIAMOND...
[1602772132.1448734]         [Thread #94]      Annotating...
[1602772132.2807806]         [Thread #94]      Analyzing...
[1602772132.6186092]         [Thread #94]      Create read mapping...
[1602772148.367097]          [Thread #94]    - [Thread #94] finished
[1602772128.1306138]         [Thread #95]    - [Thread #95] running on [1/28] CPUs
[1602772128.1306956]         [Thread #95]      Creating output directories...
[1602772128.1325998]         [Thread #95]      Translating reads...
[1602772148.244019]          [Thread #95]      Running DIAMOND...
[1602772154.1962736]         [Thread #95]      Converting DIAMOND...
[1602772154.2924]            [Thread #95]      Parsing DIAMOND...
[1602772154.442026]          [Thread #95]      Annotating...
[1602772154.7756572]         [Thread #95]      Analyzing...
[1602772155.0777957]         [Thread #95]      Create read mapping...
[1602772170.95703]           [Thread #95]    - [Thread #95] finished
[1602772150.601431]          [Thread #96]    - [Thread #96] running on [1/28] CPUs
[1602772150.6015115]         [Thread #96]      Creating output directories...
[1602772150.6029334]         [Thread #96]      Translating reads...
[1602772170.8391354]         [Thread #96]      Running DIAMOND...
[1602772176.8471396]         [Thread #96]      Converting DIAMOND...
[1602772176.967934]          [Thread #96]      Parsing DIAMOND...
[1602772177.1065257]         [Thread #96]      Annotating...
[1602772177.386239]          [Thread #96]      Analyzing...
[1602772177.6580667]         [Thread #96]      Create read mapping...
[1602772193.495916]          [Thread #96]    - [Thread #96] finished
[1602772173.211979]          [Thread #97]    - [Thread #97] running on [1/28] CPUs
[1602772173.212061]          [Thread #97]      Creating output directories...
[1602772173.2140195]         [Thread #97]      Translating reads...
[1602772193.3323896]         [Thread #97]      Running DIAMOND...
[1602772199.512361]          [Thread #97]      Converting DIAMOND...
[1602772199.6446536]         [Thread #97]      Parsing DIAMOND...
[1602772199.8378294]         [Thread #97]      Annotating...
[1602772200.1617534]         [Thread #97]      Analyzing...
[1602772200.3635628]         [Thread #97]      Create read mapping...
[1602772216.1420417]         [Thread #97]    - [Thread #97] finished
[1602772195.538429]          [Thread #98]    - [Thread #98] running on [1/28] CPUs
[1602772195.5385158]         [Thread #98]      Creating output directories...
[1602772195.540076]          [Thread #98]      Translating reads...
[1602772216.1274288]         [Thread #98]      Running DIAMOND...
[1602772222.0667794]         [Thread #98]      Converting DIAMOND...
[1602772222.188195]          [Thread #98]      Parsing DIAMOND...
[1602772222.3328915]         [Thread #98]      Annotating...
[1602772222.563552]          [Thread #98]      Analyzing...
[1602772222.8604324]         [Thread #98]      Create read mapping...
[1602772238.5524426]         [Thread #98]    - [Thread #98] finished
[1602772218.3349977]         [Thread #99]    - [Thread #99] running on [1/28] CPUs
[1602772218.3350792]         [Thread #99]      Creating output directories...
[1602772218.3365216]         [Thread #99]      Translating reads...
[1602772238.4832616]         [Thread #99]      Running DIAMOND...
[1602772244.5216012]         [Thread #99]      Converting DIAMOND...
[1602772244.642524]          [Thread #99]      Parsing DIAMOND...
[1602772244.82421]           [Thread #99]      Annotating...
